id,address,type
1,"7660 Sharon Street",Residential
2,"60 Drake Place",Residential
3,"88 City Point Court",Residential
4,"266 Dorchester Avenue",Residential
5,"2 Otis Place",Residential
6,"154 Lowell Court",Residential
7,"9 Marlborough Street",Residential
8,"8335 Kilby Place",Residential
9,"26 Fenway",Business
10,"81 Fleet Street",Residential
11,"367 Jersey Street",Residential
12,"2 Trilling Way",Residential
13,"81 Belgravia Place",Residential
14,"809 Bay View Place",Residential
15,"310 Carleton Street",Business
16,"398 Boylston Street",Warehouse
17,"1747 Grove Street",Residential
18,"311 Montmorenci Avenue",Business
19,"175 Randolph Street",Residential
20,"63 Embankment Road",Business
21,"30 Church Street",Residential
22,"46 Wendell Street",Residential
23,"827 S Russell Street",Residential
24,"77 Murray Way",Residential
25,"7053 Wareham Street",Business
26,"9007 Concord Place",Business
27,"78 Athens Street",Residential
28,"173 Scotia Street",Residential
29,"7310 Hamilton Place",Residential
30,"0 Fenwood Road",Residential
31,"8 Castle Court",Residential
32,"285 Lincoln Street",Residential
33,"7262 Vancouver Street",Residential
34,"2 Federal Street",Business
35,"83 Chauncy Street",Business
36,"42 Dean Way",Business
37,"9611 W Haven Street",Residential
38,"92 Winthrop Street",Residential
39,"67 Blossom Court",Residential
40,"190 Yard Way",Business
41,"292 Inman Street",Residential
42,"428 Murray Way",Business
43,"794 Dolphin Way",Residential
44,"5422 Lark Street",Residential
45,"12 Foster Street",Business
46,"68 Utica Street",Residential
47,"1332 Orton Marotta Way",Residential
48,"6940 Carmody Court",Residential
49,"27 Monks Street",Residential
50,"123 Sesame Street",Residential
51,"23 Somerset Street",Residential
52,"211 Marine Road",Residential
53,"735 Jerusalem Place",Residential
54,"20 Upton Street",Business
55,"72 Blackwood Street",Residential
56,"0 Bridge Court",Residential
57,"26 M Street Place",Residential
58,"467 Butler Row",Residential
59,"926 Dyer Avenue",Residential
60,"22 Causeway Street",Residential
61,"82 Washington Place",Residential
62,"239 Dalton Street",Residential
63,"78 Belvidere Street",Residential
64,"275 Mount Washington Avenue",Residential
65,"18 Putnam Street",Warehouse
66,"8 Louisburg Square",Business
67,"86 Harbor Street",Residential
68,"21 A Street",Residential
69,"505 Quincy Court",Residential
70,"907 Custom House Street",Business
71,"6460 Embankment Road",Residential
72,"80 Newhill Place",Business
73,"486 Leyden Street",Residential
74,"32 Sullivan Place",Business
