id,contents,from_address_id,to_address_id
1,"Sticky notes",8575,4635
2,Shears,8431,7641
3,"Index cards",2107,3624
4,"Glue stick",6954,3740
5,"Trading cards",4530,5564
6,"Fountain pen",2308,972
7,"Trading cards",7870,7942
8,"Ironing board",4572,8454
9,"Fountain pen",8399,416
10,"Colored cardstock",7325,8572
11,"Fabric scissors",1358,7896
12,"Ballpoint pen",1225,9797
13,Bows,3885,2780
14,Undisclosed,214,917
15,"Fabric markers",2787,8242
16,Bookmark,2792,4919
17,"Cotton balls",612,2834
18,"Gift bags",8289,9198
19,Protractor,95,5515
20,Dustpan,6329,3976
21,Envelopes,5622,1956
22,Bows,7336,6493
23,"Ribbon cutter",7425,5708
24,Stamps,1818,4723
25,"Push pins",8451,3689
26,"Pencil sharpener",3221,3820
27,"Address labels",5889,9713
28,"Jigsaw puzzle",7598,9911
29,"Garbage bin",1440,7857
30,"File organizers",7129,7485
31,Shears,1611,9401
32,"Tissue paper",1921,2597
33,"Mechanical pencil",9644,9802
34,Broom,3570,1756
35,"Rollerball pen",953,2950
36,Postcard,1281,3520
37,"Tracing paper",5115,4310
38,"Mechanical eraser",3883,5513
39,Glitter,1349,3396
40,"Puzzle book",7534,3635
41,Notebook,8975,7949
42,"Stationery set",2913,7175
43,Feathers,8898,2882
44,"Foam sheets",1561,9290
45,"Bottle caps",7490,7138
46,"Puzzle book",9155,5764
47,"Pipe cleaners",8550,7198
48,"Letter opener",7667,5694
49,"Egg cartons",1417,7427
50,"Rollerball pen",8755,3897
51,Whiteboard,9349,8151
52,"Puzzle book",7406,1375
53,"Cross-stitch kit",5803,5649
54,"Ironing board",5017,5655
55,"Postage stamps",7753,8666
56,"Desk lamp",4655,2444
57,"Ironing board",4051,7662
58,"Wine corks",5174,2513
59,Poster,2934,9258
60,"Embroidery floss",9317,6639
61,"Envelop opener",1413,9389
62,"Decorative paper",2039,7274
63,"Crepe paper",784,18
64,"Ribbon cutter",6568,3997
65,"Embroidery hoop",9728,4906
66,"Bulletin board",5495,5553
67,Broom,5696,8854
68,Glitter,8197,6046
69,Beads,3653,570
70,"Ziplock bags",2240,4808
71,Book,8449,9852
72,"Cotton balls",7113,4763
73,"Packing peanuts",1462,3064
74,"Trash bags",1303,9962
75,Buttons,4670,8462
76,"Laundry detergent",3724,8520
77,"Glitter glue",1887,9832
78,Shears,9897,125
79,"USB drive",9380,1617
80,"Satin ribbons",2488,6164
81,"Sticky notes",6350,8393
82,"Packing peanuts",3748,1905
83,"Writing desk",6498,379
84,Glitter,239,6581
85,Sandpaper,8607,4893
86,"USB drive",4082,1298
87,"Aluminum foil",7479,9239
88,"Fabric scissors",1387,4479
89,"Drawing paper",5152,2587
90,"Bubble wrap",2753,5076
91,"Storage boxes",4387,7947
92,"Card game",5283,8476
93,Book,8501,4457
94,CD,1599,8160
95,"Label maker",2034,4535
96,"Crochet hooks",6774,1116
97,"Storage boxes",3323,7163
98,"Fabric scissors",3280,7985
99,"Postage meter",14,7760
100,"Scrapbooking materials",2424,5718
101,"Dryer sheets",3142,621
102,"Newsprint paper",9993,1638
103,"Rubber gloves",243,9191
104,"Fabric glue",7876,1318
105,"Jigsaw puzzle",6648,2174
106,Stapler,4132,3324
107,"Sticker book",8584,8369
108,"Empty jars",6776,6094
109,Calendar,5987,3124
110,"Glitter glue",5743,4153
111,"Carbon paper",927,5229
112,"Mouse pad",3873,3281
113,"Crossword puzzle",9815,1647
114,"Sealing wax",7500,9962
115,"Ziplock bags",8883,6458
116,"Quilting thread",2595,9413
117,Clothespins,9743,4114
118,"Sketching set",4540,5149
119,"Plastic containers",4902,7897
120,"Rubber gloves",7724,879
121,"Empty jars",142,3547
122,"Dry erase markers",4054,4209
123,"Craft sticks",1081,4345
124,"Stationery set",7042,8364
125,"Trash bags",9497,2970
126,"Plastic bottles",3653,7752
127,"Wooden beads",7784,8923
128,"Rubber duck",6183,9372
129,"Packing peanuts",3114,2625
130,"Plastic bottles",9660,1851
131,"Measuring tape",1152,5697
132,Poster,2724,1718
133,"Comic book",9383,9293
134,"Art prints",7291,6236
135,Calculator,3524,5092
136,"Glitter glue",4457,4330
137,"Decorative paper",4230,5895
138,Sponges,7804,1030
139,"Paper towels",6038,3569
140,"Calligraphy set",7300,6206
141,Journal,6315,1880
142,"Address labels",3928,1294
143,Sequins,1896,6096
144,"Stationery set",9407,3557
145,Beads,6296,7600
146,"Tracing paper",3220,2643
147,"Popsicle sticks",7320,979
148,Crayons,4805,9368
149,"Knitting needles",1188,8369
150,"Quilting ruler",3534,244
151,Notebook,4141,6592
152,"Egg cartons",6988,6407
153,"Gift wrap",2763,5450
154,"Measuring tape",7348,4542
155,"Coloring book",5693,676
156,"Origami paper",5141,6996
157,"Gel pens",4026,6406
158,"Bubble wrap",9015,3834
159,"Coloring book",447,7633
160,"Rubber gloves",3185,8286
161,"Snap fasteners",2826,3167
162,"Pencil sharpener",4004,3815
163,"Ziplock bags",8547,4802
164,"Cotton swabs",4396,5436
165,"Cotton balls",3634,7428
