id,driver_id,package_id,address_id,action,timestamp
1,11,8502,1063,Pick,"2023-07-11 15:16:05.340221"
2,8,3320,9551,Pick,"2023-07-11 15:19:39.359315"
3,1,2879,9589,Pick,"2023-07-11 15:23:47.208594"
4,20,2240,3464,Pick,"2023-07-11 15:28:16.920400"
5,1,8664,8013,Pick,"2023-07-11 15:32:42.265139"
6,9,6932,8082,Pick,"2023-07-11 15:35:55.724893"
7,5,9033,678,Pick,"2023-07-11 15:42:30.255444"
8,4,1722,673,Pick,"2023-07-11 15:47:40.269239"
9,18,3629,4065,Pick,"2023-07-11 15:54:06.711657"
10,13,860,8557,Pick,"2023-07-11 15:58:04.571587"
11,5,3060,4610,Pick,"2023-07-11 16:01:26.050716"
12,13,6045,713,Pick,"2023-07-11 16:06:26.718463"
13,9,8809,5311,Pick,"2023-07-11 16:09:53.931958"
14,9,1116,2226,Pick,"2023-07-11 16:14:57.667374"
15,4,225,391,Pick,"2023-07-11 16:20:17.894279"
16,1,747,1702,Pick,"2023-07-11 16:28:12.990520"
17,17,7680,1874,Pick,"2023-07-11 16:33:28.539701"
18,20,3145,680,Pick,"2023-07-11 16:41:15.792616"
19,2,8325,7331,Pick,"2023-07-11 16:49:27.850725"
20,8,3310,9780,Pick,"2023-07-11 16:53:54.291316"
21,3,861,8819,Pick,"2023-07-11 17:01:03.472449"
22,13,5860,161,Pick,"2023-07-11 17:05:32.055919"
23,5,7879,2051,Pick,"2023-07-11 17:10:52.526285"
24,13,7461,4624,Pick,"2023-07-11 17:16:05.232497"
25,10,2665,6083,Pick,"2023-07-11 17:17:51.336395"
26,14,9207,9702,Pick,"2023-07-11 17:24:03.288618"
27,4,1676,8986,Pick,"2023-07-11 17:27:25.184565"
28,7,8214,7900,Pick,"2023-07-11 17:31:40.001991"
29,17,1390,17,Pick,"2023-07-11 17:37:29.366391"
30,4,7617,2709,Pick,"2023-07-11 17:43:44.480721"
31,20,6644,3314,Pick,"2023-07-11 17:46:11.394945"
32,14,9124,1189,Pick,"2023-07-11 17:51:56.732822"
33,12,4171,6971,Pick,"2023-07-11 17:56:28.534568"
34,3,9922,2889,Pick,"2023-07-11 18:00:19.492622"
35,14,603,5983,Pick,"2023-07-11 18:04:05.011241"
36,2,3113,1134,Pick,"2023-07-11 18:08:20.909704"
37,12,3491,1505,Pick,"2023-07-11 18:11:18.868073"
38,12,5309,6843,Pick,"2023-07-11 18:17:03.619919"
39,19,2109,7059,Pick,"2023-07-11 18:20:49.716510"
40,1,2796,9802,Pick,"2023-07-11 18:27:51.053780"
41,15,6933,9784,Pick,"2023-07-11 18:35:29.729354"
42,14,3425,6252,Pick,"2023-07-11 18:42:36.504652"
43,18,8961,279,Pick,"2023-07-11 18:48:39.103125"
44,1,7412,6270,Pick,"2023-07-11 18:51:02.320731"
45,17,6068,6049,Pick,"2023-07-11 18:54:52.162177"
46,19,4316,9771,Pick,"2023-07-11 18:58:04.017600"
47,4,8522,6881,Pick,"2023-07-11 19:02:52.824640"
48,9,2502,1156,Pick,"2023-07-11 19:10:03.281057"
49,1,5478,511,Pick,"2023-07-11 19:15:00.253448"
50,5,9218,7483,Pick,"2023-07-11 19:19:08.088385"
51,17,8120,4387,Pick,"2023-07-11 19:25:31.642274"
52,2,7117,5465,Pick,"2023-07-11 19:27:04.859618"
53,8,362,4159,Pick,"2023-07-11 19:31:42.301361"
54,1,384,432,Pick,"2023-07-11 19:33:55.241794"
55,8,4369,9701,Pick,"2023-07-11 19:40:06.869622"
56,3,7218,2871,Pick,"2023-07-11 19:45:10.471719"
57,3,2276,6644,Pick,"2023-07-11 19:50:13.107191"
58,9,848,8649,Pick,"2023-07-11 19:53:42.178219"
59,16,9052,6034,Pick,"2023-07-11 19:58:43.285486"
60,12,902,6745,Pick,"2023-07-11 20:04:23.365783"
61,10,1207,2348,Pick,"2023-07-11 20:08:50.867966"
62,19,5841,2431,Pick,"2023-07-11 20:11:23.033381"
63,7,9792,8649,Pick,"2023-07-11 20:17:51.457188"
64,3,9145,994,Pick,"2023-07-11 20:23:12.203065"
65,14,2535,777,Pick,"2023-07-11 20:26:49.132486"
66,9,2122,9314,Pick,"2023-07-11 20:35:36.041582"
67,11,8113,9874,Pick,"2023-07-11 20:40:52.009097"
68,7,3502,1535,Pick,"2023-07-11 20:47:21.484276"
69,15,2417,3134,Pick,"2023-07-11 20:52:14.436094"
70,8,7825,2854,Pick,"2023-07-11 20:54:27.039779"
71,8,5655,7585,Pick,"2023-07-11 20:56:35.652081"
72,12,5266,1240,Pick,"2023-07-11 21:00:00.472425"
73,9,966,8249,Pick,"2023-07-11 21:06:26.655623"
74,14,7229,3868,Pick,"2023-07-11 21:14:01.354422"
75,15,6151,1649,Pick,"2023-07-11 21:23:21.205232"
76,15,4310,2923,Pick,"2023-07-11 21:26:45.476397"
77,16,8910,8609,Pick,"2023-07-11 21:31:24.169279"
78,1,8328,8480,Pick,"2023-07-11 21:38:15.121440"
79,11,9162,1473,Pick,"2023-07-11 21:46:19.415168"
80,3,9649,19,Pick,"2023-07-11 21:52:26.637158"
81,20,7310,2950,Pick,"2023-07-11 21:59:06.301307"
82,13,9441,9194,Pick,"2023-07-11 22:04:19.364870"
83,14,2766,6281,Pick,"2023-07-11 22:09:30.576827"
84,4,6989,3358,Pick,"2023-07-11 22:17:01.001845"
85,18,9801,2467,Pick,"2023-07-11 22:21:26.200132"
86,16,4960,878,Pick,"2023-07-11 22:26:50.694376"
87,12,3650,7777,Pick,"2023-07-11 22:34:38.391917"
88,4,881,8026,Pick,"2023-07-11 22:39:31.283706"
89,8,7367,5702,Pick,"2023-07-11 22:41:39.317550"
90,2,4206,7944,Pick,"2023-07-11 22:46:37.832289"
91,13,9223,9160,Pick,"2023-07-11 22:49:37.638335"
92,16,1723,2741,Pick,"2023-07-11 22:53:54.306626"
93,13,9633,1579,Pick,"2023-07-11 23:00:51.488811"
94,1,384,854,Drop,"2023-07-11 23:07:04.432178"
95,17,4142,8974,Pick,"2023-07-11 23:10:35.716531"
96,15,8717,735,Pick,"2023-07-11 23:17:55.531798"
97,17,5642,9888,Pick,"2023-07-11 23:23:02.634875"
98,4,5169,6944,Pick,"2023-07-11 23:28:53.300364"
99,19,3755,795,Pick,"2023-07-11 23:32:08.609210"
100,4,6250,7077,Pick,"2023-07-11 23:40:12.746042"
101,1,9511,4562,Pick,"2023-07-11 23:43:48.980122"
102,15,5462,9439,Pick,"2023-07-11 23:49:18.897133"
103,19,6001,1417,Pick,"2023-07-11 23:54:24.533536"
104,5,7488,986,Pick,"2023-07-12 00:02:31.041975"
105,4,1834,620,Pick,"2023-07-12 00:07:35.454311"
106,9,9213,1602,Pick,"2023-07-12 00:16:49.261531"
107,13,1656,1861,Pick,"2023-07-12 00:21:36.744829"
108,14,7030,2448,Pick,"2023-07-12 00:26:43.094315"
109,12,5628,8594,Pick,"2023-07-12 00:31:58.835627"
110,5,1276,132,Pick,"2023-07-12 00:35:08.135019"
111,9,4141,341,Pick,"2023-07-12 00:41:28.099505"
112,16,6834,6574,Pick,"2023-07-12 00:47:34.464604"
113,12,8049,5929,Pick,"2023-07-12 00:55:28.496304"
114,10,6531,2329,Pick,"2023-07-12 01:00:57.524196"
115,20,1072,8626,Pick,"2023-07-12 01:06:57.971280"
116,12,6561,8251,Pick,"2023-07-12 01:09:24.058452"
117,16,6117,3056,Pick,"2023-07-12 01:14:41.125240"
118,3,4526,4831,Pick,"2023-07-12 01:21:57.109255"
119,1,8260,2072,Pick,"2023-07-12 01:24:30.881663"
120,18,9769,2422,Pick,"2023-07-12 01:29:04.695034"
121,9,2321,8326,Pick,"2023-07-12 01:36:00.603305"
122,16,1217,8478,Pick,"2023-07-12 01:41:19.921885"
123,1,4195,4387,Pick,"2023-07-12 01:46:18.617837"
124,2,2360,2011,Pick,"2023-07-12 01:52:43.172010"
125,19,8152,1732,Pick,"2023-07-12 01:58:16.886282"
126,6,208,4917,Pick,"2023-07-12 02:01:07.320618"
127,9,8161,1426,Pick,"2023-07-12 02:05:30.908538"
128,17,2725,8952,Pick,"2023-07-12 02:08:40.760649"
129,19,6242,2806,Pick,"2023-07-12 02:15:54.440753"
130,13,932,7025,Pick,"2023-07-12 02:21:29.836002"
131,6,2750,997,Pick,"2023-07-12 02:25:01.351323"
132,10,5939,6879,Pick,"2023-07-12 02:31:51.527511"
133,18,6331,1602,Pick,"2023-07-12 02:37:00.474926"
134,3,2049,6924,Pick,"2023-07-12 02:41:28.512064"
135,2,6042,4718,Pick,"2023-07-12 02:42:50.509296"
136,14,9048,8447,Pick,"2023-07-12 02:52:39.659486"
137,20,9678,4807,Pick,"2023-07-12 03:01:38.932953"
138,20,1785,5954,Pick,"2023-07-12 03:02:56.547911"
139,5,4857,5347,Pick,"2023-07-12 03:10:08.505881"
140,5,7618,2193,Pick,"2023-07-12 03:13:05.298428"
141,15,4448,5190,Pick,"2023-07-12 03:19:20.521116"
142,2,4078,6414,Pick,"2023-07-12 03:22:10.865066"
143,8,6533,5330,Pick,"2023-07-12 03:26:17.312598"
144,3,2738,9255,Pick,"2023-07-12 03:33:39.642819"
145,14,9478,855,Pick,"2023-07-12 03:36:34.510039"
146,19,4121,6873,Pick,"2023-07-12 03:40:49.387780"
147,11,9883,4261,Pick,"2023-07-12 03:46:00.772403"
148,17,7900,2785,Pick,"2023-07-12 03:51:37.380606"
149,11,5965,1874,Pick,"2023-07-12 03:53:16.821804"
